Milwaukee Bucks*,56
Boston Celtics*,48
Los Angeles Clippers*,49
Toronto Raptors*,53
Los Angeles Lakers*,52
Dallas Mavericks*,43
Miami Heat*,44
Houston Rockets*,44
Utah Jazz*,44
Philadelphia 76ers*,43
Denver Nuggets*,46
Indiana Pacers*,45
Oklahoma City Thunder*,44
Phoenix Suns,34
Brooklyn Nets*,35
Orlando Magic*,33
San Antonio Spurs,32
Memphis Grizzlies,34
Portland Trail Blazers*,35
New Orleans Pelicans,30
Sacramento Kings,31
Chicago Bulls,22
Detroit Pistons,20
Minnesota Timberwolves,19
Washington Wizards,25
New York Knicks,21
Charlotte Hornets,23
Atlanta Hawks,20
Cleveland Cavaliers,19
Golden State Warriors,15
