1,Cleveland Cavaliers
2,Golden State Warriors
3,Boston Celtics
4,San Antonio Spurs
5,Washington Wizards
6,Houston Rockets
7,Utah Jazz
8,Toronto Raptors
9,Los Angeles Clippers
10,Atlanta Hawks
11,Chicago Bulls
12,Memphis Grizzlies
13,Milwaukee Bucks
14,Oklahoma City Thunder
15,Indiana Pacers
16,Portland Trail Blazers
