1,Toronto Raptors
2,Golden State Warriors
3,Portland Trail Blazers
4,Milwaukee Bucks
5,Denver Nuggets
6,Philadelphia 76ers
7,Houston Rockets
8,Boston Celtics
9,San Antonio Spurs
10,Los Angeles Clippers
11,Brooklyn Nets
12,Oklahoma City Thunder
13,Utah Jazz
14,Orlando Magic
15,Detroit Pistons
16,Indiana Pacers
