San Antonio Spurs*,67
Golden State Warriors*,73
Oklahoma City Thunder*,55
Cleveland Cavaliers*,57
Toronto Raptors*,56
Los Angeles Clippers*,53
Atlanta Hawks*,48
Boston Celtics*,48
Charlotte Hornets*,48
Utah Jazz,40
Miami Heat*,48
Indiana Pacers*,45
Portland Trail Blazers*,44
Detroit Pistons*,44
Houston Rockets*,41
Dallas Mavericks*,42
Washington Wizards,41
Chicago Bulls,42
Orlando Magic,35
Sacramento Kings,33
Memphis Grizzlies*,42
New York Knicks,32
Denver Nuggets,33
Minnesota Timberwolves,29
New Orleans Pelicans,30
Milwaukee Bucks,33
Phoenix Suns,23
Brooklyn Nets,21
Los Angeles Lakers,17
Philadelphia 76ers,10
