1,San Antonio Spurs
2,Oklahoma City Thunder
3,Miami Heat
4,Indiana Pacers
5,Los Angeles Clippers
6,Portland Trail Blazers
7,Brooklyn Nets
8,Washington Wizards
9,Golden State Warriors
10,Dallas Mavericks
11,Memphis Grizzlies
12,Toronto Raptors
13,Houston Rockets
14,Atlanta Hawks
15,Chicago Bulls
16,Charlotte Bobcats
