1,Golden State Warriors
2,Cleveland Cavaliers
3,Oklahoma City Thunder
4,Toronto Raptors
5,Miami Heat
6,Portland Trail Blazers
7,San Antonio Spurs
8,Atlanta Hawks
9,Indiana Pacers
10,Charlotte Hornets
11,Los Angeles Clippers
12,Boston Celtics
13,Dallas Mavericks
14,Houston Rockets
15,Detroit Pistons
16,Memphis Grizzlies
