Golden State Warriors*,67
San Antonio Spurs*,61
Houston Rockets*,55
Toronto Raptors*,51
Los Angeles Clippers*,51
Utah Jazz*,51
Cleveland Cavaliers*,51
Boston Celtics*,53
Washington Wizards*,49
Miami Heat,41
Oklahoma City Thunder*,47
Memphis Grizzlies*,43
Denver Nuggets,40
Chicago Bulls*,41
Charlotte Hornets,36
Indiana Pacers*,42
Milwaukee Bucks*,42
Portland Trail Blazers*,41
Atlanta Hawks*,43
Detroit Pistons,37
Minnesota Timberwolves,31
New Orleans Pelicans,34
Dallas Mavericks,33
New York Knicks,31
Sacramento Kings,32
Phoenix Suns,24
Philadelphia 76ers,28
Brooklyn Nets,20
Orlando Magic,29
Los Angeles Lakers,26
