Boston Celtics*,51
Phoenix Suns*,64
Utah Jazz*,49
Memphis Grizzlies*,56
Golden State Warriors*,53
Miami Heat*,53
Dallas Mavericks*,52
Milwaukee Bucks*,51
Philadelphia 76ers*,51
Minnesota Timberwolves*,46
Denver Nuggets*,48
Toronto Raptors*,48
Cleveland Cavaliers,44
Atlanta Hawks*,43
Brooklyn Nets*,44
Charlotte Hornets,43
San Antonio Spurs,34
Los Angeles Clippers,42
New York Knicks,37
Chicago Bulls*,46
New Orleans Pelicans*,36
Los Angeles Lakers,33
Washington Wizards,35
Indiana Pacers,25
Sacramento Kings,30
Detroit Pistons,23
Orlando Magic,22
Oklahoma City Thunder,24
Houston Rockets,20
Portland Trail Blazers,27
