Houston Rockets*,65
Toronto Raptors*,59
Golden State Warriors*,58
Utah Jazz*,48
Philadelphia 76ers*,52
Boston Celtics*,55
Oklahoma City Thunder*,48
San Antonio Spurs*,47
Portland Trail Blazers*,49
Minnesota Timberwolves*,47
Denver Nuggets,46
Indiana Pacers*,48
New Orleans Pelicans*,48
Cleveland Cavaliers*,50
Washington Wizards*,43
Miami Heat*,44
Charlotte Hornets,36
Los Angeles Clippers,42
Detroit Pistons,39
Milwaukee Bucks*,44
Los Angeles Lakers,35
Dallas Mavericks,24
New York Knicks,29
Brooklyn Nets,28
Orlando Magic,25
Atlanta Hawks,24
Memphis Grizzlies,22
Chicago Bulls,27
Sacramento Kings,27
Phoenix Suns,21
