1,Milwaukee Bucks
2,Phoenix Suns
3,Los Angeles Clippers
4,Atlanta Hawks
5,Philadelphia 76ers
6,Brooklyn Nets
7,Utah Jazz
8,Denver Nuggets
9,Dallas Mavericks
10,Portland Trail Blazers
11,Los Angeles Lakers
12,Memphis Grizzlies
13,Boston Celtics
14,Washington Wizards
15,New York Knicks
16,Miami Heat
