Utah Jazz*,52
Los Angeles Clippers*,47
Phoenix Suns*,51
Milwaukee Bucks*,46
Philadelphia 76ers*,49
Denver Nuggets*,47
Brooklyn Nets*,48
Los Angeles Lakers*,42
Dallas Mavericks*,42
New York Knicks*,41
Atlanta Hawks*,41
Portland Trail Blazers*,42
Boston Celtics*,36
Golden State Warriors,39
Memphis Grizzlies*,38
Miami Heat*,40
Indiana Pacers,34
New Orleans Pelicans,31
Toronto Raptors,27
Chicago Bulls,31
San Antonio Spurs,33
Washington Wizards*,34
Charlotte Hornets,33
Sacramento Kings,31
Detroit Pistons,20
Minnesota Timberwolves,23
Houston Rockets,17
Cleveland Cavaliers,22
Orlando Magic,21
Oklahoma City Thunder,22
